unique_id,ds,Chronos,Moirai,TimesFM-2.5
hotel_126,2023-07-07,1.0078661,0.9915628,1.0026542
hotel_126,2023-07-08,1.0069962,0.9918714,1.005569
hotel_126,2023-07-09,1.0055763,0.9899882,0.9927781
hotel_126,2023-07-10,1.0049424,0.9940564,0.9922238
hotel_126,2023-07-11,1.004831,0.99055105,0.99484605
hotel_126,2023-07-12,1.0050014,0.99152535,0.9957618
hotel_126,2023-07-13,1.0050961,0.99278855,0.99625415
hotel_126,2023-07-14,1.0039016,0.9912309,1.0010501
hotel_126,2023-07-15,1.0021713,0.9920852,1.0033109
hotel_126,2023-07-16,1.0018911,0.9922292,0.9914259
hotel_126,2023-07-17,1.0012616,0.9915986,0.9915167
hotel_126,2023-07-18,0.9999206,0.99032706,0.99325323
hotel_126,2023-07-19,1.0000412,0.99140674,0.9968569
hotel_126,2023-07-20,1.0013065,0.9919253,0.9968396
hotel_126,2023-07-21,0.99943495,0.99206275,1.0012428
hotel_126,2023-07-22,0.99888825,0.9895604,1.0038143
hotel_126,2023-07-23,1.0001122,0.9871517,0.9928221
hotel_126,2023-07-24,0.999636,0.99216735,0.99205357
hotel_126,2023-07-25,0.99991506,0.98973024,0.9938873
hotel_126,2023-07-26,1.0010867,0.9907588,0.9958832
hotel_126,2023-07-27,1.001135,0.9926418,0.9966742
hotel_126,2023-07-28,0.99999446,0.99295706,1.0027401
hotel_133,2023-07-01,0.9800897,0.97299105,0.99111307
hotel_133,2023-07-02,0.91126853,0.95296913,0.8776268
hotel_133,2023-07-03,0.90507716,0.9560208,0.89969003
hotel_133,2023-07-04,0.92224485,0.9520601,0.90571177
hotel_133,2023-07-05,0.93791974,0.9613272,0.90718305
hotel_133,2023-07-06,0.9735966,0.9580658,0.9165609
hotel_133,2023-07-07,1.0202242,0.95544785,0.970461
hotel_133,2023-07-08,1.0261846,0.96077234,0.9997457
hotel_133,2023-07-09,0.96035993,0.9427087,0.90259683
hotel_133,2023-07-10,0.9499285,0.9544169,0.9216472
hotel_133,2023-07-11,0.9604033,0.9442363,0.93369627
hotel_133,2023-07-12,0.9652901,0.9496639,0.94532955
hotel_133,2023-07-13,0.9723184,0.95288485,0.9506568
hotel_133,2023-07-14,0.9940984,0.9601326,0.99230516
hotel_133,2023-07-15,0.98545885,0.94229645,1.0003453
hotel_133,2023-07-16,0.9083489,0.9389708,0.8880148
hotel_133,2023-07-17,0.8994759,0.936065,0.90980697
hotel_133,2023-07-18,0.92707324,0.96315867,0.92673504
hotel_133,2023-07-19,0.94289845,0.9572823,0.9335815
hotel_133,2023-07-20,0.9598544,0.96341366,0.9310807
hotel_133,2023-07-21,0.99288225,0.9567299,0.98556423
hotel_133,2023-07-22,0.9950086,0.9550916,1.0080123
hotel_133,2023-07-23,0.9232304,0.9532398,0.9107269
hotel_133,2023-07-24,0.9101146,0.9537994,0.9377799
hotel_133,2023-07-25,0.9236778,0.941494,0.9441235
hotel_133,2023-07-26,0.9386948,0.94878536,0.9468577
hotel_133,2023-07-27,0.9581678,0.9523343,0.9479997
hotel_133,2023-07-28,0.98673475,0.95928067,0.99345624
hotel_14,2023-07-01,0.6086642,0.57804376,0.66628087
hotel_14,2023-07-02,0.48771036,0.5441711,0.4710409
hotel_14,2023-07-03,0.54891646,0.5979531,0.57330495
hotel_14,2023-07-04,0.63988733,0.63542575,0.656142
hotel_14,2023-07-05,0.68036306,0.6471766,0.6857403
hotel_14,2023-07-06,0.67063344,0.6263595,0.65927005
hotel_14,2023-07-07,0.69462866,0.6372559,0.69251764
hotel_14,2023-07-08,0.7056943,0.63869286,0.72188944
hotel_14,2023-07-09,0.5694448,0.57344687,0.5110771
hotel_14,2023-07-10,0.61881816,0.60329044,0.6086258
hotel_14,2023-07-11,0.7025723,0.6719972,0.69193107
hotel_14,2023-07-12,0.726829,0.6517877,0.71300304
hotel_14,2023-07-13,0.6981152,0.6616371,0.69892997
hotel_14,2023-07-14,0.70876896,0.6693858,0.7366975
hotel_14,2023-07-15,0.7171185,0.6384469,0.7597566
hotel_14,2023-07-16,0.5697806,0.59996617,0.5490413
hotel_14,2023-07-17,0.6132202,0.6325904,0.64420366
hotel_14,2023-07-18,0.69915265,0.6811733,0.7271328
hotel_14,2023-07-19,0.73070383,0.67557484,0.7437745
hotel_14,2023-07-20,0.69633925,0.61973715,0.72023004
hotel_14,2023-07-21,0.6997012,0.6377167,0.75471276
hotel_14,2023-07-22,0.70502484,0.6108868,0.77954304
hotel_14,2023-07-23,0.5620824,0.58205736,0.56203395
hotel_14,2023-07-24,0.60358214,0.63058376,0.6543906
hotel_14,2023-07-25,0.68782026,0.7026643,0.73326784
hotel_14,2023-07-26,0.72099864,0.6630369,0.75394326
hotel_14,2023-07-27,0.6985035,0.6746948,0.7359058
hotel_14,2023-07-28,0.7111571,0.66395366,0.76757556
hotel_21,2023-07-01,0.9506306,0.9801074,0.9774186
hotel_21,2023-07-02,0.958559,0.97559965,0.9686924
hotel_21,2023-07-03,0.965828,0.98081625,0.97125876
hotel_21,2023-07-04,0.97209686,0.983981,0.98282623
hotel_21,2023-07-05,0.9747736,0.98253775,0.9865973
hotel_21,2023-07-06,0.97918516,0.9802232,0.98565775
hotel_21,2023-07-07,0.9792587,0.98225546,0.9856862
hotel_21,2023-07-08,0.97940534,0.9787365,0.9901239
hotel_21,2023-07-09,0.9789901,0.98217964,0.97707194
hotel_21,2023-07-10,0.98017365,0.97678083,0.9770611
hotel_21,2023-07-11,0.97841793,0.98063564,0.98659396
hotel_21,2023-07-12,0.97713214,0.98132294,0.99097025
hotel_21,2023-07-13,0.9765257,0.98340666,0.9885337
