unique_id,ds,y,otb_28,otb_30,otb_46,day_of_week_Monday,day_of_week_Saturday,day_of_week_Sunday,day_of_week_Thursday,day_of_week_Tuesday,day_of_week_Wednesday,holiday_name_Christmas Day (observed),holiday_name_Columbus Day,holiday_name_Independence Day,holiday_name_Juneteenth National Independence Day,holiday_name_Juneteenth National Independence Day (observed),holiday_name_Labor Day,holiday_name_Martin Luther King Jr. Day,holiday_name_Memorial Day,holiday_name_New Year's Day,holiday_name_New Year's Day (observed),holiday_name_Thanksgiving Day,holiday_name_Veterans Day,holiday_name_Washington's Birthday,holiday_name_None,hotel_type_Key Central Business District,hotel_type_Other High Leisure Mix,hotel_type_Resorts & Destinations
hotel_7,2023-04-29,0.6205211726384365,0.4592833876221498,0.44136807817589574,0.42833876221498374,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
hotel_7,2023-04-30,0.6579804560260586,0.4723127035830619,0.46905537459283386,0.42996742671009774,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
hotel_7,2023-05-01,0.5407166123778502,0.3289902280130293,0.3241042345276873,0.25732899022801303,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
hotel_7,2023-05-02,0.6074918566775245,0.3501628664495114,0.33876221498371334,0.2752442996742671,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
hotel_7,2023-05-03,0.755700325732899,0.3729641693811075,0.28013029315960913,0.1498371335504886,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
hotel_7,2023-05-04,0.749185667752443,0.3713355048859935,0.2947882736156352,0.16612377850162866,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
hotel_7,2023-05-05,0.760586319218241,0.4609120521172638,0.4495114006514658,0.250814332247557,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
hotel_7,2023-05-06,0.6286644951140065,0.42996742671009774,0.4234527687296417,0.2768729641693811,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
hotel_7,2023-05-07,0.5423452768729642,0.2915309446254072,0.28664495114006516,0.21335504885993486,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
hotel_7,2023-05-08,0.40390879478827363,0.16938110749185667,0.16612377850162866,0.09283387622149837,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
hotel_7,2023-05-09,0.41205211726384366,0.16286644951140064,0.16449511400651465,0.0993485342019544,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
hotel_7,2023-05-10,0.5537459283387622,0.23289902280130292,0.2280130293159609,0.13843648208469056,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
hotel_7,2023-05-11,0.758957654723127,0.4511400651465798,0.3973941368078176,0.1563517915309446,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
hotel_7,2023-05-12,0.758957654723127,0.5162866449511401,0.4576547231270358,0.24267100977198697,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
hotel_7,2023-05-13,0.760586319218241,0.5781758957654723,0.5732899022801303,0.19218241042345277,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
hotel_7,2023-05-14,0.6482084690553745,0.44462540716612375,0.44462540716612375,0.26221498371335505,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
hotel_7,2023-05-15,0.5944625407166124,0.3566775244299674,0.3566775244299674,0.2785016286644951,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
hotel_7,2023-05-16,0.3729641693811075,0.10423452768729642,0.09609120521172639,0.0732899022801303,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
hotel_7,2023-05-17,0.6026058631921825,0.23127035830618892,0.22149837133550487,0.06188925081433225,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
hotel_7,2023-05-18,0.6628664495114006,0.2687296416938111,0.26547231270358307,0.043973941368078175,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
hotel_7,2023-05-19,0.7361563517915309,0.3469055374592834,0.3257328990228013,0.06351791530944625,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
hotel_7,2023-05-20,0.5456026058631922,0.2247557003257329,0.20358306188925082,0.11726384364820847,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
hotel_7,2023-05-21,0.4560260586319218,0.17263843648208468,0.16938110749185667,0.13029315960912052,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
